brand,storage,ram,phones_price,reviews,battery
Xiaomi Redmi 14C,128,6," 14,899",0,5000
Samsung Galaxy A06,64,," 13,494",0,5000
XIAOMI Redmi A3,64,4," 11,099",25,5000
Samsung Galaxy S20,,6," 24,999",0,4000
Vivo Y18 6.56'',128,6," 17,199",0,5000
TECNO POP 7,64,6," 10,599",220,5000
XIAOMI Redmi A3X,64,," 10,999",0,5000
XIAOMI Redmi A3X,128,," 11,699",0,5000
oppo a37 100%,16,2," 3,119",0,2630
VIVO Y28 256GB,256,8," 24,499",0,6000
Xiaomi Redmi 14C,256,8," 16,999",0,5160
Samsung Galaxy A06,128,," 13,484",0,5000
Samsung Galaxy A16,128,4," 21,499",0,
Infinix Hot 50i,,12," 14,694",0,5000
Oppo F7/A3 128GB4GB,128,," 9,999",0,3400
Xiaomi Redmi Note,,12," 57,899",0,5000
Samsung Galaxy A15,128,4," 20,199",0,5000
Infinix Hot 50i,128,12," 13,199",0,5000
Samsung Galaxy A24,128,6," 25,999",0,5000
VIVO Y19S 128GB,128,6," 17,400",0,5500
LG Velvet 5G,128,6," 27,999",1,4300
Samsung Galaxy F55,256,8," 39,994",0,5000
Samsung Galaxy F55,256,8," 38,594",0,5000
Huawei Psmart 2019,128,6," 8,299",5,
TECNO SPARK 30C,128,8," 14,599",0,5000
Xiaomi Redmi 7,,," 12,899",0,4000
Xiaomi Redmi 14C,128,4," 14,837",0,5160
Xiaomi Redmi 14C,128,6," 16,499",0,5160
Oppo A3x 6.67-inch',64,4," 14,980",0,5100
Itel A06 3G,32,," 7,799",0,4000
Samsung Galaxy A16,128,," 22,599",0,5000
Samsung Galaxy A16,256,," 24,599",0,5000
Samsung Galaxy A05S,128,," 15,399",0,5000
"OPPO R9 5.5'',",64,4," 12,966",0,2850
XIAOMI Redmi A3X,64,," 10,499",0,5000
Samsung Galaxy A25,128,," 29,899",0,5000
OPPO A31 6GB128GB,,6," 13,100",0,4230
iphone 13pro 256GB/128,256,6," 79,999",0,
Xiaomi Redmi 14C,128,6," 14,794",0,5160
OPPO A83 64GB4GB,64,," 12,459",0,3180
Samsung Galaxy A25,128,," 29,999",0,5000
Tecno Camon 30S,256,," 33,399",0,5000
XIAOMI Redmi 14C,128,8," 13,499",0,5160
Samsung Galaxy A05S,128,," 15,399",0,5000
G VIVO Y93S,128,," 13,866",0,4030
Tecno Spark 30C,128,8," 13,699",0,5000
Infinix hot 50i,128,12," 13,699",0,
OPPO A35 64GB4GB,64,," 16,459",0,4230
Tecno Spark 30C,128,8," 14,599",0,5000
OPPO A35 4GB64GB,,4," 12,659",0,4230
Redmi noto10 128GB,128,," 14,582",0,5000
OPPO A9 4GB128GB,,4," 12,999",0,4020
KGTEL Hallo 10,128,12," 9,900",0,
Huawei nova 8,128,8," 22,000",0,
Oppo A3x 6.67-inch',128,4," 15,799",0,5100
XIAOMI Redmi 14C,256,8," 17,999",0,5160
TECNO SPARK 10,256,8," 18,520",0,5000
Samsung Galaxy A55,128,," 40,689",0,5000
XIAOMI Redmi Note,,12," 50,000",0,5000
TECNO SPARK 30C,128,8," 14,799",0,5000
Infinix 8 64GB,64,4," 11,199",0,
"Samsung Galaxy A16,",128,4," 19,899",0,5000
XIAOMI Redmi 14C,128,6," 15,199",0,5160
XIAOMI Civi 128/256GB,256,," 20,590",0,4500
Itel P55 128GB,128,12," 11,699",0,5000
XIAOMI Redmi Note,256,8," 28,499",0,5000
Itel A80 128GB,128,8," 10,999",0,5000
Itel A80 128GB,128,8," 10,999",0,5000
Itel A80 128GB,128,8," 10,999",0,5000
Itel A80 128GB,128,8," 10,999",0,5000
Itel A80 128GB,128,8," 10,999",0,5000
XIAOMI Redmi 14C,128,6," 16,980",0,5160
