,Name,Price(kshs),Reviews,Doors,Capacity(ltrs),Brand
412,Von fridges 136 Litres Fridge,35999,0,Not Found,136.0,Von
413,Premier Two Doors 180L Fridge Refrigerator Keep Your Food And Drinks Fresh And Cold,40990,0,2,180.0,Premier
414,Premier Two Doors 350L Fridge Refrigerator Energy Efficient And Stylish,69000,0,2,350.0,Premier
415,94 LITRES TEXTEND AND APPROVED FRIDGE,34800,0,Not Found,94.0,Unknown
416,Premier 90L SINGLE DOOR FRIDGE Single Door Refrigerator,28900,0,1,90.0,Premier
417,128L FRIDGES TWO DOORS,44200,0,2,128.0,Unknown
418,90L SINGLE DOOR FRIDGE SINGLE DOOR REFRIGERATOR,29800,0,1,90.0,Unknown
419,180L FRIDGES TWO DOORS,54800,0,2,180.0,Unknown
420,320 LITRES DOUBLE DOOR FRIDGE NO FROST,126500,0,2,320.0,Unknown
421,"118 LITRES DIRECT COOL,DOUBLE DOOR AND SILVER BRUSH FRIDGE",49300,0,2,118.0,Unknown
422,"120 LITRES LEGIT FRIDGE TESTED, TRIED AND APPROVED",56100,0,Not Found,120.0,Unknown
423,94 LITRES TEXTEND AND APPROVED FRIDGE,34850,0,Not Found,94.0,Unknown
425,Mika MRDCD211XLB 211L Fridge,54995,0,Not Found,211.0,Mika
426,Von VART-25NHS Double Door Fridge 220L,65010,0,2,220.0,Von
427,Ramtons RF215 90L Single Door Fridge,25900,0,1,90.0,Ramtons
428,Beko Single Door Fridge - 198 Litres,39999,0,1,198.0,Beko
429,"RAMTONS 204 LITERS 2 DOOR DIRECT COOL FRIDGE, SILVER - RF340",48900,0,2,204.0,Ramtons
430,Original Low energy consumption Rebune Fridge,51498,0,Not Found,,Rebune
431,Haier 190L Single Door Fridge HRD-1954CSS,41800,0,1,190.0,Haier
432,Haier 185L Single Door FRIDGE HRD-210MP,47000,0,1,185.0,Haier
433,"Double door fridge Preserve all your foodstuffs using this efficient refrigerator. This spacious double door fridge is ideal for kitchens, a mini bar or office. It is energy",35100,0,2,,Unknown
434,Nunix 138L DOUBLE Door Fridge,29500,0,2,138.0,Nunix
435,"Roch RFR-110D-B Double Door Fridge, 85L This Roch Double Door Fridge is a_sleek and stylish exterior gets you that practical functionality in a pleasing design an ideal fit for your modern kitchen. T",25650,0,2,85.0,Roch
436,"RAMTONS 128 LITERS 2 DOOR DIRECT COOL FRIDGE, WHITE- RF174",37900,0,2,128.0,Ramtons
437,Ramtons RF175 - 2 Door Direct Cool Fridge - 128 Litres - Blue,39000,0,2,128.0,Ramtons
438,"Mika Fridge, 592L, 4 Door Bottom Mount Freezer, No Frost Frost Free, INVERTER Compressor, Black Glass",193999,0,4,592.0,Mika
439,"Beko Fridge ,Double Door,Inox,197 Lt Gross Volume BAD526 KE",68900,0,2,197.0,Beko
440,Hisense Fridge 91 Liters Double Door2 YEARS WARRANTY,26599,0,2,91.0,Hisense
441,Von VART-36NHS Double Door Fridge 251L - Silver,75000,0,2,251.0,Von
442,138 ltrs fridge nunnix 2 door Cool Pack - Maintains cold during power cuts Glass shelves Large freezer section Twist Ice tray providedEgg TrayLarge vegetable boxLock  KeyCFC FreeDefrost Function,35000,0,2,138.0,Unknown
443,Ramtons RF319- 430 L Ramtons RF319 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE is a great choice for those who want a spacious and energy-efficient refrigerator.,121500,0,Not Found,430.0,Ramtons
444,Haier Single Door FRIDGE HRD-210MP 185L,54800,0,1,185.0,Haier
445,Haier Single Door FRIDGE HRD-210MP 185L,55700,0,1,185.0,Haier
446,Haier 270L No Frost Double Door Fridge - HRF-298FAKE,92400,0,2,270.0,Haier
447,"Quality Mika Refrigerator, 92L,Single Door Fridge",26499,0,1,92.0,Mika
448,"Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox e. affordable, quality, energy-efficient home appliances. The brand is well known for their Gra",37000,0,Not Found,118.0,Roch
449,Mika MRDCS92DS 93L Direct Cool Fridge,21990,0,Not Found,93.0,Mika
450,Roch RFR-110D-B Double Door Refrigerator - 85 Litres Double Door Fridge is a sleek and stylish exterior gets you that practical functionality in a pleasing design an ideal fit for your modern kitchen.,25650,0,2,85.0,Roch
451,"Roch RFR-580-DT-I No Frost Double Door Fridge, 168 litres electronic appliances has temperature control via a thermostat Glass is stronger than the standard one.Suitable forstoring fruits vegetables",108000,0,2,168.0,Roch
452,"Beko Fridge, Single door Static Cooling 183 L BAS598X",48899,0,1,183.0,Beko
453,"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline",32500,0,2,125.0,Vitron
454,Nunix 90L Single Door Fridge Energy Efficient BC-92,20499,0,1,90.0,Nunix
455,roch rfr 190s i single door refrigerator 150l silver The Roch fridge has a high storage capacity and impressive cooling performance to extend the freshness of your perishable goods. The single door co,39150,0,1,150.0,Roch
