,Name,Price(Kshs),Reviews
68,"!!!REFURBISHED HP ELITEBOOK FOLIO 9470 CORE I5 8GB RAM 500GB HDD,14 ""INCH DISPLAY ,5TH GENERATION ,REFURBISHED LAPTOP,SILVER, WINDOWS 10 PRO MS OFFICE 2019 SILVER 6 MONTHS WARRANTY",18999,0
69,"Hp ProBook 11 G2 Intel CELERON 6th gen 4GB RAM 500GB HDD, 11.6 inch Refurbished Hp Laptop Computer Notebook Refurbished Laptop Black M",13200,10
70,"Plus a free mouse TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360",11299,24
71,"Mouse+i5+8GB+512GB SSDRefurbished Lenovo Laptop Lenovo Thinkpad T470 Core i5 8GB+512GB+14"" Windows 10 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty Notebook laptops",23599,1
72,HP PROBOOK 11 G2 | CORE I5| 8GB RAM | 256GB SSD |TOUCHSCREEN |X360 REFURBISHED LAPTOP|WINDOWS 10 PRO+FREE MOUSE 2 IN 1 LAPTOP,21999,3
73,"LIMITED LENOVO YOGA 11E TOUCHSCREEN INTEL CELERON 8GB RAM 256GB SSD STORAGE X360 2 IN 1 LAPTOP REFURBISHED , INSTALLED WINDOWS 10 PRO AND FREE MOUSE",17999,11
74,"Free Mouse i5+8gb+500gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 500GB SSD Backlit Keyboard 14"" Notebook Windows 11 Office 2019",20999,27
75,"BLACK FRIDAY TOUCHSCREEN HP ELITEBOOK 1030 G2, 7TH GENERATION , 16GB RAM 512GB SSD CORE I7 REFURBISHED LAPTOP X360 INSTALLED WINDOWS 11 PRO",59999,0
76,"HP Elitebook 8460 Laptop Core i5 4GB RAM / 500GB HDD Computer Laptop,windows 10 pro +free mouse ,Silver 14 inch",12999,15
77,"FREE 16GB FLASH Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11699,0
78,HP EliteBook 830 G5 Laptop 13.3″ FHD | 1.7GHz Intel Core i5-8350U Quad-Core | 8GB DDR4 | 256GB SSD | Win10 Pro Touchscreen,30999,0
79,i5+8GB+500GB Refurbished Hp Elitebook 840 G1 Intel Core i5 4th gen - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Laptop -Webcam Intel HD Graphics Notebook,15999,3
80,Lenovo ThinkPad T430 | Core i5 | 8GB RAM | 500GB HDD | Refurbished 3rd generation Laptop Computer | Notebook Black 14 inch,12999,1
81,!!!HP EliteBook Revolve 810 g3 Touchscreen | Core i7 8GB RAM | 256GB SSD | Refurbished Laptops Notebook Computer 3 USB 2.0 port,25999,4
82,"Refurbished HP EliteBook 840 G5 8th Gen Intel Core i5-8550U 8GB RAM 256 GB SSD 14"" FHD Refurbished Laptop Notebook Computer",33499,2
83,+ FREE MOUSE Refurbished Dell Latitude E6430 INTEL CORE i5 4GB Ram 500GB HDD 14inch HD Screen Display Refurbished Laptop Notebook Computer,12499,34
84,HP ELITEBOOK 840 G1 LAPTOP- INTEL CORE I7 - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Black 14 inc,18999,5
85,"TOUCHSCREEN HP PROBOOK X360 11E 7TH GENERATION I,NTEL CORE I5 ,8GB Ram 256GB SSD 11.6 inch 6 Months Warranty Laptop Computer Notebook Laptop",19999,3
86,"i5+8GB+500GB+14""+Free Mouse Refurbished HP Elitebook 840 G3 i5 6th 8GB 500GB 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops",21999,0
87,"Touchscreen Refurbished HP ProBook 11e x360 Intel Core i5 8GB RAM,128GB Solid State Drive 2-in-1 11.6-inch Display Laptop PCBluetoo Refurbished Laptops Notebook Computer",19999,0
88,Limited Hp ProBook 6470b | Core i5 3rd Gen | 8GB RAM | 500GB HDD | Windows 10 | Refurbished Laptop Computer | Notebook with charger Black 14 inch,15400,3
89,SPECIAL OFFERS Refurbished HP EliteBook 820G3 Laptop Intel Core i5 6th Gen 8GB RAM 256GB SSD ROM - 12'' Windows 10 Pro | MS Office 2019 Pro | Notebook Computer Silver in Colour 12.5 inch Display,19999,2
90,Lenovo Refurbished ThinkPad L380 Yoga x360 Core i5 8th Gen 8GB RAM 256GB SSD 13.3 Inch Touchscreen 2 in 1 Laptop,29999,0
91,Refurbished Laptop Dell Latitude E7280 Core i5 6th 8GB+256GB+12.5'' Windows 10 Notebook with 1 Free Mouse 6 Month Warranty Free Office 2019,20799,4
92,Lenovo ThinkPad T460s | Core i5 6TH Gen | 8GB RAM | 256gb ssd | Refurbished Laptop Computer | Notebook Black 14 inch,28999,1
93,!!!HP ELITEBOOK 840 G1 LAPTOP- INTEL CORE I7 - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Black 14 i,17899,0
94,"Free MouseRefurbished Lenovo Laptop Lenovo Thinkpad X250 Core i5 8GB+256GB+12.5"" Windows 11 12.5"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty Notebook laptops",16899,0
95,"HP eEliteBook 840 G1 Core i7 8GB RAM 256GB SSD, 14 Inches windows 10 pro Refurbished laptop",20500,0
96,Brand New Lenovo Ideapad 1 | Intel Corei3-1215U 8GB 512SSD Storage14''inch HD Screen Display New School Business Cyber Laptop Computer NOTEBOOK,46999,1
97,ONLY TODAY Limited Offers Refurbished HP Probook 640 G2 Intel CORE i5 8GB RAM 256GB SSD ROM - 14'' Display Refurbished Laptop Computer Notebook Windows 10 Notebook,19799,1
98,4GB RAM+256GB SSD Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 Intel pentium 5th Gen 4GB RAM 256GB SSD 2 IN 1 Laptop Refurbished Laptops Cmputers INSTALLED WINDOWS 10 PRO,14699,2
99,"Refurbished Laptop Lenovo Thinkpad x250 Core i5 8GB+256GB+12.5"" Windows 10 Notebook Black 12 inch",16499,0
100,"[ FREE 64GB FLASH DISK + WIRELESS MOUSE] LENOVO Yoga 11E X360 2 IN 1 ThinkPad REFURB TOUCHSCREEN 4GB RAM 128gb ssd 11.6"" 2-in-1 Laptop +WINDOWS 10 + WIRELESS MOUSE MICROSOFT OFFICE, SCHOOL LAPTOP",16799,0
101,"Lenovo ThinkPad Yoga 370 X360 Core I7 7th Gen 8GB RAM 256GB SSD 14"" FHD Touchscreen 2-in-1 Convertible Refurbished Laptop + Stylus",35000,1
102,BRAND NEW HP ENVY 15 LAPTOP X360 CORE i7 16GB RAM 1TB SSD 14 INCH TOUCHSCREEN,131999,0
103,"REFURBISHED HP ELITEBOOK 850 G2 CORE I7 8GB RAM 256GB SSD ,NOTEBOOK,15.6 ""INCH , 5TH GENERATION, INSTALLED WINDOWS 11 , OFFICE 2019 + 9 MONTH WARRANTY+SEALED LAPTOP",25999,0
104,Refurbished Hp Elitebook 840 G2 Laptop - Intel Core i5 - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Black 14 inch,17499,30
105,"Refurbished Laptop Lenovo Thinkpad x250 Core i5 8GB+256GB+12.5"" Windows 10 Notebook Black 12 inch",17999,25
106,"Hp ProBook 430 G5 - Core i5 7th Gen - 8gb Ram - 500gb hdd - 13.3"" Refurbished laptop - Windows 10 Notebook - Office 2019",24599,19
107,"[Core i5+8gb+256gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office",21399,1
