,Name,Price,Reviews,Screen_size
68,Dell Latitude E7270 Intel Core i7 6th Gen 8GB RAM 256GB SSD 12.5 Inch 2.6GHz up to 3.4GHz Dual Core Processor Windows 10 Pro Slim Refurbished Ultrabook Laptop,"KSh 24,500",0,12.5
69,Refurbished Hp Elitebook 840 G2 Laptop - Intel Core i5 - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Black 14 inch,"KSh 17,499",30,14.0
70,"REFURBISHED LENOVO THINKPAD YOGA 11E TOUCHSCREEN 4GB RAM 128GB SSD , 2 IN 1 LAPTOP , 5TH GENERATION X360 COMPUTER, INSTALLED WINDOWS 10 PRO, FREE MOUSE","KSh 12,999",81,
71,"Dell Latitude Air Laptop E7280 Intel Core i5 - 6300u Processor 6th Generation, 8 GB Ram & 256GB SSD, 12.5 Inches Ultra Slim & Feather Light 1KG Notebook Computer","KSh 22,999",0,12.5
72,"Mouse+i5+8gb+512GB+14'' Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 512GB SSD Backlit Keyboard 14"" Notebook Windows 11 Office 2019","KSh 22,999",0,14.0
73,Share this product ..HP Chromebook 11 G6 Laptop - Intel Celeron Dual-core - Storage 16GB / 4GB - WiFi - Camera - Type C - HDMI - Chrome OS + Apps - Refurb - Black,"KSh 8,999",0,
74,"REFURBISHED HP ELITEBOOK FOLIO 9470 CORE I5 8GB RAM 500GB HDD,14 ""INCH DISPLAY ,5TH GENERATION ,REFURBISHED LAPTOP,SILVER, WINDOWS 10 PRO MS OFFICE 2019 SILVER 6 MONTHS WARRANTY","KSh 18,999",0,14.0
75,With Sylus Pen Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 8GB Ram 128GB SSD 12.6''inch Refurbished Laptop Computer Notebook,"KSh 13,749",4,12.6
76,"Hp ProBook 11 G2 Intel CELERON 6th gen 4GB RAM 500GB HDD, 11.6 inch Refurbished Hp Laptop Computer Notebook Refurbished Laptop Black M","KSh 13,200",10,11.6
77,"Plus a free mouse TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360","KSh 11,299",26,
78,"Mouse+i5+8GB+512GB SSDRefurbished Lenovo Laptop Lenovo Thinkpad T470 Core i5 8GB+512GB+14"" Windows 10 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty Notebook laptops","KSh 23,599",1,14.0
79,HP PROBOOK 11 G2 | CORE I5| 8GB RAM | 256GB SSD |TOUCHSCREEN |X360 REFURBISHED LAPTOP|WINDOWS 10 PRO+FREE MOUSE 2 IN 1 LAPTOP,"KSh 21,999",3,
80,"LENOVO YOGA 11E TOUCHSCREEN INTEL CELERON 8GB RAM 256GB SSD STORAGE X360 2 IN 1 LAPTOP REFURBISHED , INSTALLED WINDOWS 10 PRO AND FREE MOUSE","KSh 17,999",11,
81,Refurbished HP Elitebook 850 g3 Laptop Intel core i7-6200U 2.3GHz 8GB RAM 256GB SSD storage 14Inch HD Display Refurbished Original Computer Notebook Stock Clearance,"KSh 25,699",0,14.0
82,"TOUCHSCREEN HP ELITEBOOK 1030 G2, 7TH GENERATION , 16GB RAM 512GB SSD CORE I7 REFURBISHED LAPTOP X360 INSTALLED WINDOWS 11 PRO","KSh 59,999",0,
83,"FREE 16GB FLASH Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO","KSh 11,699",0,12.0
84,"HP Elitebook 8460 Laptop Core i5 4GB RAM / 500GB HDD Computer Laptop,windows 10 pro +free mouse ,Silver 14 inch","KSh 12,999",15,14.0
85,i5+8GB+500GB Refurbished Hp Elitebook 840 G1 Intel Core i5 4th gen - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Laptop -Webcam Intel HD Graphics Notebook,"KSh 15,999",3,14.0
86,Lenovo ThinkPad T430 | Core i5 | 8GB RAM | 500GB HDD | Refurbished 3rd generation Laptop Computer | Notebook Black 14 inch,"KSh 12,999",1,14.0
87,HP EliteBook 830 G5 Laptop 13.3″ FHD | 1.7GHz Intel Core i5-8350U Quad-Core | 8GB DDR4 | 256GB SSD | Win10 Pro Touchscreen,"KSh 30,999",0,
88,HP EliteBook Revolve 810 g3 Touchscreen | Core i7 8GB RAM | 256GB SSD | Refurbished Laptops Notebook Computer 3 USB 2.0 port,"KSh 25,999",4,
89,"Refurbished HP EliteBook 840 G5 8th Gen Intel Core i5-8550U 8GB RAM 256 GB SSD 14"" FHD Refurbished Laptop Notebook Computer","KSh 33,499",2,14.0
90,HP ELITEBOOK 840 G1 LAPTOP- INTEL CORE I7 - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Black 14 inc,"KSh 18,999",5,14.0
91,Refurbished Dell Latitude E6430 INTEL CORE i5 4GB Ram 500GB HDD 14inch HD Screen Display Refurbished Laptop Notebook Computer,"KSh 12,499",34,14.0
92,"i5+8GB+500GB+14""+Free Mouse Refurbished HP Elitebook 840 G3 i5 6th 8GB 500GB 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops","KSh 21,999",0,14.0
93,"Touchscreen Refurbished HP ProBook 11e x360 Intel Core i5 8GB RAM,128GB Solid State Drive 2-in-1 11.6-inch Display Laptop PCBluetoo Refurbished Laptops Notebook Computer","KSh 19,999",0,
94,"TOUCHSCREEN HP PROBOOK X360 11E 7TH GENERATION I,NTEL CORE I5 ,8GB Ram 256GB SSD 11.6 inch 6 Months Warranty Laptop Computer Notebook Laptop","KSh 19,999",3,11.6
95,Hp ProBook 6470b | Core i5 3rd Gen | 8GB RAM | 500GB HDD | Windows 10 | Refurbished Laptop Computer | Notebook with charger Black 14 inch,"KSh 15,400",3,14.0
96,Refurbished HP EliteBook 820G3 Laptop Intel Core i5 6th Gen 8GB RAM 256GB SSD ROM - 12'' Windows 10 Pro | MS Office 2019 Pro | Notebook Computer Silver in Colour 12.5 inch Display,"KSh 19,999",2,12.0
97,Refurbished Laptop Dell Latitude E7280 Core i5 6th 8GB+256GB+12.5'' Windows 10 Notebook with 1 Free Mouse 6 Month Warranty Free Office 2019,"KSh 20,799",4,12.5
98,Lenovo Refurbished ThinkPad L380 Yoga x360 Core i5 8th Gen 8GB RAM 256GB SSD 13.3 Inch Touchscreen 2 in 1 Laptop,"KSh 29,999",0,13.3
99,HP ELITEBOOK 840 G1 LAPTOP- INTEL CORE I7 - 8GB RAM 500GB HDD ROM - 14'' Windows 10 Notebook Black 14 i,"KSh 17,899",0,14.0
100,Brand New Lenovo Ideapad 1 | Intel Corei3-1215U 8GB 512SSD Storage14''inch HD Screen Display New School Business Cyber Laptop Computer NOTEBOOK,"KSh 46,999",1,14.0
101,"Free MouseRefurbished Lenovo Laptop Lenovo Thinkpad X250 Core i5 8GB+256GB+12.5"" Windows 11 12.5"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty Notebook laptops","KSh 16,899",0,12.5
102,"HP eEliteBook 840 G1 Core i7 8GB RAM 256GB SSD, 14 Inches windows 10 pro Refurbished laptop","KSh 20,500",0,14.0
103,Refurbished HP Probook 640 G2 Intel CORE i5 8GB RAM 256GB SSD ROM - 14'' Display Refurbished Laptop Computer Notebook Windows 10 Notebook,"KSh 19,799",1,14.0
104,4GB RAM+256GB SSD Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 Intel pentium 5th Gen 4GB RAM 256GB SSD 2 IN 1 Laptop Refurbished Laptops Cmputers INSTALLED WINDOWS 10 PRO,"KSh 14,699",2,
105,Lenovo ThinkPad X1 Yoga X360 Intel Core i5 6th Gen 8GB RAM 256GB SSD 14 Inch Full HD Touchscreen 2 in 1 Convertible 2.4GHz up to 2.71GHz Dual Core Processor Refurbished Laptop + Stylus Pen,"KSh 34,000",0,14.0
106,"Refurbished Laptop Lenovo Thinkpad x250 Core i5 8GB+256GB+12.5"" Windows 10 Notebook Black 12 inch","KSh 16,499",0,12.5
107,"FREE 64GB FLASH DISK + WIRELESS MOUSE LENOVO Yoga 11E X360 2 IN 1 ThinkPad REFURB TOUCHSCREEN 4GB RAM 128gb ssd 11.6"" 2-in-1 Laptop +WINDOWS 10 + WIRELESS MOUSE MICROSOFT OFFICE, SCHOOL LAPTOP","KSh 16,799",0,11.6
108,BRAND NEW HP ENVY 15 LAPTOP X360 CORE i7 16GB RAM 1TB SSD 14 INCH TOUCHSCREEN,"KSh 131,999",0,14.0
109,"REFURBISHED HP ELITEBOOK 850 G2 CORE I7 8GB RAM 256GB SSD ,NOTEBOOK,15.6 ""INCH , 5TH GENERATION, INSTALLED WINDOWS 11 , OFFICE 2019 + 9 MONTH WARRANTY+SEALED LAPTOP","KSh 25,999",0,15.6
110,"Refurbished Laptop Lenovo Thinkpad x250 Core i5 8GB+256GB+12.5"" Windows 10 Notebook Black 12 inch","KSh 17,999",25,12.5
111,"Core i5+8gb+256gb+14'' Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office","KSh 21,399",1,14.0
112,"Refurbished Lenovo ThinkPad X270 INTEL CORE I5-6th Gen 8GB RAM 256GB SSD,12.5'' INCH WINDOWS 10 PRO Refurbished Laptops Computers NOTEBOOK","KSh 17,599",0,12.5
113,"Refurbished Hp Elitebook 820 G3 Notebook - Intel Core i5 6th Gen - 8GB Ram 256gb ssd - 12.5"" Laptops with Windows 10 Office 2019 Silver","KSh 19,999",8,12.5
114,Refurbished HP Probook 640 G1 Intel Core i5 8GBRAM 500GB HDD-Storage - Radeon Graphics- 14'' Windows 10 Refurbished Laptops Notebook Computer Refurbished Hp Laptop,"KSh 17,899",21,14.0
115,"REFURBISHED LENOVO THINKPAD YOGA 380 CORE I5 8GB RAM 256GB SSD,8TH GENERATION , 14"" TOUCHSCREEN ,X360,STYLUS PEN ,LAPTOP FREE BAG","KSh 26,999",2,14.0
116,NEW HP ENVY X360 2-IN-1 LAPTOP 14 CORE 7 16GB RAM 512SSD STORAGE 15TH GENERATION WINDOWS 11 14 NCHS DISPLAY,"KSh 120,999",0,
117,"HP Elitebook 8460 Laptop Core i5 4GB RAM / 500GB HDD Computer Laptop,windows 10 pro +free mouse ,Silver 14 inch","KSh 14,199",11,14.0
118,HP EliteBook 830 G6 X360 Core I5 8GB RAM 256GB SSD 8th Gen 13.3 inches Touchscreen 2 in 1 Convertible Ultra Slim Refurbished Laptop,"KSh 39,999",0,13.3
