cooktop_name,cooktop_reviews,cooktop_price
"Roch RG40S - 4 Burner Table Top Gas Cooker, 50x50cm - Gray",(0),"KSh 5,250"
Ailyons 2 Burner Gas Stove Stainless Steel Double Burner Gas Cooker Saving Gas cooker,(0),"KSh 2,099"
BLACK FRIDAY Premier spiral Electric plate double burner PM253 Kitchen Appliances Cooktops,(0),"KSh 4,499"
"Sokany Electric Single Spiral Coil Cooker Stove.Various heat operations
High Quality
Non-stick Coating 
Power;1000W
Over heat Protection
One Operating On/Off Indicator Light
Anti-heat product easy to",(0),"KSh 2,000"
Nunix Two Burners Gas Stove+ 13KG Regulator + Pipe,(0),"KSh 2,599"
Ailyons Table Top Gas Stove 2 Burner Double Burner Low Gas Consumption Cooker,(0),"KSh 1,999"
"Sokany 1000W Electric Cooker Single Solid Hot Plate.Buy electric cooker with single solid hot plate.  Compact slim body design, its  Lightweight and portable. Spiral burner spreads heat. Adjustable te",(0),"KSh 1,800"
Amaize Two Burner Glass Cooker,(0),"KSh 3,299"
Single electric hot plate Cooker,(10),"KSh 1,190"
"Pac Gas Regulator 6KG Cylinder Plus Gas Pipe,Clips & Gas Burner",(2),"KSh 1,150"
Ailyons Table Top Gas Stove 2 Burner Double Burner Cooker,(0),"KSh 2,099"
Jamespot Multi-functional Touch Electric Ceramic Cooker Induction Cooker,(1),"KSh 8,599"
Jamespot  Multi-functional touch electric ceramic cooker  intelligent light wave high-power induction cooker,(84),"KSh 6,899"
Nunix  INFRARED  GAS BURNED GI004  Gas Cooker,(45),"KSh 3,339"
【Promotion 】Ipcone Glass Top Gas Cooker Double Burner Gas stove Auto Ignition  WITHOUT pipe and regular knob,(8),"KSh 2,599"
(SPECIAL OFFER) Ecoa Char Plus Stove Home Kitchen Cooker Charcoal Jiko (Formerly Jikokoa),(0),"KSh 4,150"
BEST DEALS. 🤑🥰Eurochef 3GAS AND 1ELECTRIC PLATE TABLE TOP GAS COOKER.EURO CHEF STAINLESS STEAL TABLE TOP GAS COOKER IS AN AFFORDABLE HOME APPLIANCE THAT PROVIDES YOU WITH ADEQUATE COOKING SURFACE PR,(1),"KSh 5,496"
🤪[GRAB IT AT LOW PRICE+ ADDED OFFERS]🤑😝AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe.Rustle up your favorite recipes with this newly designed Sayona automatic ga,(0),"KSh 2,700"
Sokany Electric Portable Single Induction Cooker,(0),"KSh 5,299"
"Glass Top - 2 Burner Gas Cooker,",(63),"KSh 2,849"
Nunix 3 Gas + 1 Electric Hot Plate Table Top Cooker 4 Burner Stove Auto ignition Stainless Steel Gas Cooker,(2),"KSh 5,499"
🤗🥳Nunix 4 burner full gas table top cooker+6 kg regulator + free 1 meter pipe.🥳This gas-burner will help you cook your food perfectly every time. It provides even distribution of heat and emits les,(0),"KSh 4,695"
"✨️BEST DEALS 👌 AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe. 2burner
Strong stainless steel 
Auto ignition system
New stylish design 
Temper glass surface
Easy to",(0),"KSh 2,850"
【FREE GIFT】 Rebune Gas Cooker  2 Burner (RE-4-046) Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas Gas cooker,(47),"KSh 2,699"
"😇🔥ELAVATE YOUR KITCHEN EXPERIENCE 😇AILYONS Glass Top Infrared Burner, 6 Kgs Regulator, 1.5m Pipe and 2 Clips",(0),"KSh 3,700"
EUROCHEF 3+1 TABLE TOP COOKER  EURO CHEF STAINLESS STEAL TABLE TOP GAS COOKER IS AN AFFORDABLE HOME APPLIANCE THAT PROVIDES YOU WITH ADEQUATE COOKING SURFACE PROVIDED BY THE FOUR BURNERS THREE GAS AND,(0),"KSh 5,499"
Back in stock🎉🎊🎊🎉🎉🎉🤗🥳Nunix 4 burner full gas table top cooker+6 kg regulator + free 1 meter pipe.🥳This gas-burner will help you cook your food perfectly every time. It provides even distribut,(0),"KSh 4,699"
"PRICE DROPPED 🤩 Rashnik Double Spiral Burner -Electric Two Coil/ HOT Plate Cooker. Heavy duty cast iron heating Coil
Power indicator Light
Adjustable temperature control
Heat up quickly
Great for dor",(0),"KSh 2,200"
Nunix Auto Ignition Two Burner Gas Original Cooker Stove + Pipe + 6KG Regulator,(0),"KSh 2,585"
"🤪🤪NEW EDITION ✌️💫Sokany Electric Stove, Single Burner Cooktop, Compact and Portable, Adjustable Temperature Hot Plate, 1000 Watts, Stainless Multi-Function Electric Stove Temperature Adjustable Hou",(0),"KSh 2,410"
"Nunix SS Model Two Burners Table Top Gas Cooker Stainless Steel + FREE 6kg Regulator,1.5M Pipe,TIghtener",(102),"KSh 2,799"
Nunix 3 Burner Auto Ignition Table Top Gas Stove Stainless Steel Three Burner Gas Cooker Saving Gas cooker,(0),"KSh 2,699"
Nunix Table Top Gas Cooker + Free Cable + 6KG Regulator + Tightener SS002,(78),"KSh 2,699"
"Annov 2 Burner Gas Cooker Stainless Steel+spoon, Fork",(1),"KSh 2,199"
AILYONS Infrared 2 Burner Glass Top Gas Cooker - Infrared Double Burner,(0),"KSh 2,999"
"Share this product


Nunix Glass Table Top Double Burner Gas Stove GC-004 Plus Free Gas Regulator",(0),"KSh 3,299"
Ecoa Char Plus and Grill Bundle (Formerly Jikokoa),(0),"KSh 5,500"
SK-3569 Single Plate Sokany radiant Electric Cooker with led display and touch control. infrared self induction cooker 2000W,(0),"KSh 4,300"
"Sokany Electric Single Spiral Coil Cooker Stove.Various heat operations
High Quality
Non-stick Coating 
Power;1000W
Over heat Protection
One Operating On/Off Indicator Light
Anti-heat product easy to",(0),"KSh 1,799"
【Special offer】2 Burner Rebune RE-4-044  Table Top Gas Cooker High Quality Auto Ignition Gas Cooker Gas Cooker Two  Double Burner.,(17),"KSh 2,799"
Nunix Double Gas Burner Stove + Electric Cooker + FREE Iron Box,(12),"KSh 3,999"
Electric Cooker / Single Spiral Coil Hotplate,(0),KSh 995
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),(0),"KSh 2,399"
AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(0),"KSh 2,599"
