product_name,product_reviews,product_price
"VITRON 43"" INCH HTC4388FS  BLUETOOTH FRAMELESS Full HD SMART ANDROID TV, NETFLIX, Youtube, Inbuilt Decoder 2*USB Ports,3*HDMI Ports,APPSTORE 14 Months Warranty+ 8 FREE GIFTS",(81),"KSh 22,595"
"TCL 50"" Inch, P635, 4K HDR Google/Android TV,BLUETOOTH-ENABLED+FREE TV GUARD+EXTENSION",(1),"KSh 43,899"
"Vitron 32"" Inches, USB, HDMI, HD Ready, Frameless, Digital LED TV + 3 FREE GIFTSv",(0),"KSh 14,500"
"Artel 40 inch Frameless Digital TV(AT40D) with14 Months Warranty,AC Energy Saving Televison",(8),"KSh 16,599"
"VITRON BLUETOOTH-32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore  14 MONTHS WARRANTY+ FREE GIFTS",(7),"KSh 13,999"
"Vitron 55"" Inch FRAMELESS,BLUETOOTH,UHD 4k Android Smart TV,NETFLIX+GUARD+WALL BRACKET",(1),"KSh 43,699"
"VITRON BLUETOOTH HTC3200S,32 Inch FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty + 7 FREE GIFTS",(0),"KSh 13,875"
"Hisense 43'' Inch 43A6 series,BLUETOOTH ENABLED TV, SMART  ULTRA HD 4K TELEVISION, HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO,VIDAA OS+ 6 EXTRA ACCESSORIES",(0),"KSh 35,995"
"VITRON HTC3200S, BLUETOOTH -ENABLED, Frameless 32"" Inch Smart Android TV Inbuilt Decoder,Netflix Youtube Google Playstore+FREE 6 GIFTS",(1),"KSh 13,659"
"VITRON 50 inch HTC5068US,50 Inch BLUETOOTH FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM Youtube,Netflix+FREE TV Guard+Wall Bracket+ 2GB FLASH DISK",(29),"KSh 35,495"
"Vitron HTC4388FS 43"" INCH-BLUETOOTH-ENABLED, FRAMELESS- FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI+8 FREE GIFTS+14 MONTHS WARRANTY",(4),"KSh 22,899"
"TCL 43S5400A,43"" Inch Bluetooth Television Smart ANDROID TV Netflix Youtube Google Appstore Inbuilt WIFI Inbuilt Decoder DOLBY AUDIO HDR10+ 7 freee gifts",(3),"KSh 29,895"
"TCL 50"" Inch,4K HDR Google TV - BLUETOOTH-ENABLED/ANDROID TV,NETFLIX,VOICE CONTROL+TILT BRACKET+2 YEARS WARRANTY",(0),"KSh 43,999"
"VITRON 32"" INCH HTC3200S,BLUETOOTH-ENABLED,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI+14 MONTHS WARRANTY+7 FREE GIFTS",(23),"KSh 13,899"
"VITRON 43"" INCH TV HTC4388FS BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE TV AERIAL+BRACKET+TV  GUARD",(1),"KSh 21,399"
"VITRON HTC5568S,55"" Inches BLUETOOTH 4K UHD Television Smart Android TV,Netflix,Youtube Bluetooth Enabled INBUILT DECODER 1.5GBRAM,8GBROM + 4 FREE GIFTS",(1),"KSh 42,995"
"GLD 32"" INCHES,FRAMELESS SMART BLUETOOTH ENABLED-ANDORID TV SMART,NETFLIX +YOUTUBE-WIFI TELEVISION INBUILT DECODER WIDE COLOR ENHANCER USB PORTS HDMI PORTS + 8 FREE GIFTS",(33),"KSh 13,999"
