clean_product_name,brand,size,tv_type,product_reviews,product_price
"Vision Plus 50 inch Smart TV Frameless VP8850KV 4K UHD Frameless V OS Television 50  Free Wall Bracket, Bluetooth, NETFLIX OFFICIAL SMART CONTENT TV, DOLBY AUDIO VP8850KV",vision,50,smart,47,36999
"Amtec 32 inch  ACDC 32R1S Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV 4 EXTRA FREE GIFTS",vision,32,smart,19,13999
"Vitron 55 Inch Smart-Android,Bluetooth TV,FRAMELESS,ULTRA HD,4KGIFTS",vitron,55,smart,6,43999
"GLD 43 INCH-BLUETOOTH FRAMELESS Full HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE POWER GUARD",vision,43,smart,1,19999
VITRON 24 INCH HTC2446 HD Digital TELEVISION LED TV ACDC With HDMI Output  and USB VGA AV ports INBUILT DECODER ELECTRONICS WIDE COLOR ENHANCER MULTILANGUAGE SUPPORT,vitron,24,digital,0,8999
"Vitron HTC4068S,40 Inch Bluetooth Enabled Frameless Smart Android TV Inbuilt WIFI Netflix,Youtube Television Inbuilt Decoder Appstore Wide Color Enhancer 14 Months Warranty7 FREE GIFTS",vitron,40,smart,59,19999
"GLD 32 Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTSWIFI ACCESS  8 EXTRA ACCESSORIES",vision,32,smart,0,14199
"GLD 32 Inch,BLUETOOTH-ENABLED,Frameless Smart Android TVLE3200R1-SATelevision with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIXFREE BRACKETTV GUARD 14MONTHS WARRANTY",vision,32,smart,0,12799
AILYONS 32 Inch LST 3208W Smart TV,ailyons,32,smart,0,12900
"BLUETOOTH-ENABLED  VITRON 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE TV AERIAL",vitron,43,smart,2,20599
Artel 30AT2801 Smart Bluetooth ACDC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G8G with 12 Months Warranty,artel,,smart,9,11999
"TCL 75P755 75 Inch 4K UHD Google TV With AiPQ Processor, 120Hz Game Accelerator, Dolby VisionAtmos, HDR10  Game Master 2024 Model.",tcl,55,Unknown Type,0,142500
Synix 32 Inch DIGITAL Tv USB HDMIINBUILT DECODER,synix,32,digital,0,12899
"Ailyons 32 inch Frameless Smart Android 11 TV Full HD Netflix TV YouTube  Energy Saving LST3208W Wide Visual Angle Television TV legstands Television A Panel, HDMI USB Ports Wide Voltage Design",vision,32,smart,5,12495
