product_name,product_reviews,product_price,clean_product_name,brand,size,tv_type
"Hisense 32A4HKEN A4 Series,32 Inch Frameless Smart TV WIFI+TV Guard+WallBracket+GIFTS BUNDLE",(5),"KSh 21,999","Hisense 32A4HKEN A4 Series,32 Inch Frameless Smart TV WIFITV GuardWallBracketGIFTS BUNDLE",hisense,32,smart
"BLUETOOTH VITRON HTC3200S-32"" Inch SMART Android TV ,FRAMELESS USB,HDMI,,NETFLIX,YOUTUBE+WI-FI TELEVISION+7 GIFTS+2 YEARS WARRANTY",(17),"KSh 13,880","BLUETOOTH VITRON HTC3200S-32 Inch SMART Android TV ,FRAMELESS USB,HDMI,,NETFLIX,YOUTUBEWI-FI TELEVISION7 GIFTS2 YEARS WARRANTY",vitron,32,smart
"Amtec 32M8  32 inch AC/DC FRAMELESS Digital LED TV with Inbuilt Decoder for local Local Channels HDMI and USB ports,VGA+ 7 Free GIFTS",(0),"KSh 13,895","Amtec 32M8  32 inch ACDC FRAMELESS Digital LED TV with Inbuilt Decoder for local Local Channels HDMI and USB ports,VGA 7 Free GIFTS",amtec,32,digital
"CTC  42"" INCH FRAMELESS/BLUETOOTH FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION 42 INCHES , BUILT-IN WIFI, APPSTORE,1GBRAM,8GBROM,2 USB-PORTS,3 HDMI-PORTS+ FREE 6 GIFTS",(0),"KSh 19,999","CTC  42 INCH FRAMELESSBLUETOOTH FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION 42 INCHES , BUILT-IN WIFI, APPSTORE,1GBRAM,8GBROM,2 USB-PORTS,3 HDMI-PORTS FREE 6 GIFTS",vision,,smart
"BLUETOOTH GLD 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE WALL BRACKET+TV GUARD",(2),"KSh 21,999","BLUETOOTH GLD 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE WALL BRACKETTV GUARD",vision,43,smart
"GLD 32"" Inch,FRAMELESS SMART BLUETOOTH  ENABLED,Android TV,NETFLIX+YOUTUBE-WIFI TELEVISION-FREE 8 7 GIFTS",(1),"KSh 13,890","GLD 32 Inch,FRAMELESS SMART BLUETOOTH  ENABLED,Android TV,NETFLIXYOUTUBE-WIFI TELEVISION-FREE 8 7 GIFTS",vision,32,smart
"BLUETOOTH VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+8 GIFTS",(9),"KSh 22,799","BLUETOOTH VITRON 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI8 GIFTS",vitron,43,smart
"VITRON HTC 4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART ANDROID TV Inbuilt Decoder NETFLIX YOUTUBE APP STORE 1GBRAM 8GBROM 3*HDMI Ports 2*USB Ports + 4 FREE GIFTS",(7),"KSh 21,790",VITRON HTC 4388FS 43 INCH BLUETOOTH FRAMELESS FHD SMART ANDROID TV Inbuilt Decoder NETFLIX YOUTUBE APP STORE 1GBRAM 8GBROM 3HDMI Ports 2USB Ports  4 FREE GIFTS,vitron,43,smart
"Hisense 65"" Inch,ULTRA HD 4K,SMART TV,BLUETOOTH-ENABLED,VIDAA OS+TV GUARD+32GB FLASH DISK",(0),"KSh 84,999","Hisense 65 Inch,ULTRA HD 4K,SMART TV,BLUETOOTH-ENABLED,VIDAA OSTV GUARD32GB FLASH DISK",hisense,32,smart
"TCL 43S65A,43 Inch FRAMELESS Smart ANDROID TV,BLUETOOTH,Inbuilt WIFI TELEVISION+6 FREE GIFTS",(6),"KSh 29,999","TCL 43S65A,43 Inch FRAMELESS Smart ANDROID TV,BLUETOOTH,Inbuilt WIFI TELEVISION6 FREE GIFTS",tcl,43,smart
"GLD 43"" INCH-BLUETOOTH /FRAMELESS Full HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 32GB FLASH+WALL BRACKET",(1),"KSh 20,899","GLD 43 INCH-BLUETOOTH FRAMELESS Full HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE 32GB FLASHWALL BRACKET",vision,32,smart
"Hisense 55"" INCH 4K ULTRA HD SMART TV, NETFLIX, BLUETOOTH 2024 MODEL+2 YEARS WARRANTY+FREE EXTENSION+WALL BRACKET",(0),"KSh 54,999","Hisense 55 INCH 4K ULTRA HD SMART TV, NETFLIX, BLUETOOTH 2024 MODEL2 YEARS WARRANTYFREE EXTENSIONWALL BRACKET",hisense,55,smart
