standing_cooker_name,standing_cooker_reviews,standing_cooker_price
Eurochef Euro Chef EGT55-3G1E-E 55X50 3 Gas 1 Electric Standing Cooker With Electric Oven & TIMER,(0),"KSh 25,000"
"Mika Free Standing Cooker,50cm X 60cm,3 Gas+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY",(0),"KSh 44,999"
"Hisense 50Cm Stainless Steel Free Stand Cooker Cooker, 4 Burner All Gas & <br /> Oven, Silver (2YRs WRTY)",(0),"KSh 42,999"
"CLEARANCE SALE!!! VON VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 ,Grey +1 YEAR WARRANTY",(0),"KSh 28,799"
"Eurochef 60*60 full gas with safety detector, rotisserie,timer and pulse ignition standing Jet cooker",(0),"KSh 28,049"
MIKA COOKER 58 BY 58 MATT BLACK FREE STANDING COOKER WITH FREE GIFTS,(0),"KSh 38,599"
"Nunix Free Standing 4 Gas Burner Cooker With Oven,",(0),"KSh 19,900"
Nunix Free Standing Cooker 60x60 3 gas burner and 1 Electric Hot plate with an Electric Oven,(0),"KSh 27,999"
"Marble Mika Standing Cooker 58 x 58 cm 3Gas + 1Electric Hotplate with Electric Oven, 3 Function Electric oven,Special Unbreakable Glass Top Lid,Heavy Duty Matt Finish Burner Caps,Wide Matt Enamel coat",(0),"KSh 40,500"
Nunix Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 19,900"
"[OFFER] Mika 50x60, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate,ROTISSERIE Free Standing Cooker with 4 Function Electric Oven",(0),"KSh 33,999"
"Mika 50*60, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate,ROTISSERIE Free Standing Cooker with 4 Function Electric Oven",(0),"KSh 32,999"
"Gas wind shield/ energy saving cover uses high-quality materials, with high-temperature combustion resistance",(0),KSh 900
